report_board,report_datetime,report_title,row_count
Minnesota Board of Pharmacy,4/13/2026 12:00:22 PM,Facility List - PH,2171

facility_name,license_type,license_nbr,description,grant_date,expire_date,address_line1,address_line2,city,county,state,zip,e_mail
"HYVACS, LLC (dba) Hy-Vee Pharmacy Solutions",PH,264491,Active,06/27/2014,06/30/2026,"10004 S 152nd St, Suite C",,Omaha,,NE,68138,licensure@hvrxsolutions.com
"I.G.G. of America, LLC (dba) CVS/Specialty",PH,266793,Active,08/10/2023,06/30/2026,7150 Columbia Gateway Dr,Suite E,Columbia,,MD,21046,permitinfo@cvshealth.com
I.V. Solutions LLC,PH,267172,Active,07/22/2025,06/30/2026,165 Hansen Court,Ste 106,Wood Dale,,IL,60191,dheuer@ivsolutionsllc.com
"ICP Holdings, LLC (dba) Integrity Compounding Pharmacy",PH,265932,Active,10/02/2019,06/30/2026,"8601 Dunwoody Place, #750",,Sandy Springs,,GA,30350,caseyg@mixwithintegrity.com
"IHC Health Services, Inc (dba) Intermountain Home Delivery Pharmacy",PH,264693,Active,04/01/2015,06/30/2026,"7268 S Bingham Junction Blvd, Suite B1",,Midvale,,UT,84047,homedeliverylicensingpic@imail.org
"ImprimisRx Nashville, LLC",PH,266873,Active,01/26/2024,06/30/2026,658 Grassmere Park,Suite 104,Nashville,,TN,37211,jsaharek@harrowinc.com
"ImprimisRx NJ, LLC (dba) ImprimisRx",PH,264388,Active,04/15/2014,06/30/2026,1705 Route 46 Ste 4,,Ledgewood,,NJ,07852,imprimislabs@imprimisrx.com
Infinite Health Pharmacy Inc.,PH,267352,Active,02/20/2026,06/30/2026,416 Clematis St.,Suite B,West Palm Beach,,FL,33401,infinitehealthrx@gmail.com
"Infinity Compounding Solutions, LLC (dba) Infinity Care Solutions",PH,265889,Active,07/01/2019,06/30/2026,1204 SE 28th St,Suite 2,Bentonville,,AR,72712,pharmacycredentialing@arcare.net
"Infucare Rx, LLC",PH,266413,Active,08/30/2021,06/30/2026,2540 Market Street,Ste 1,Aston,,PA,19014,licensing@infucarerx.com
Infuserve America,PH,263395,Active,07/15/2009,06/30/2026,11880 28th St N,,St Petersburg,,FL,33716,compliance@infuserveamerica.com
"Injectable Therapy Services, Inc. (dba) BioMatrix Specialty Pharmacy CA",PH,266938,Active,07/01/2024,06/30/2026,16625 Arminta St.,,Van Nuys,,CA,91406,audrey.gadd@biomatrixsprx.com
"Injured Workers Pharmacy, LLC",PH,263787,Active,11/15/2011,06/30/2026,300 Federal St,,Andover,,MA,01810,IWP_Licenses@iwpharmacy.com
"Innova Rx, Inc. (dba) Cedarmak Pharmacy",PH,266188,Active,09/23/2020,06/30/2026,"Innova Rx, Inc.",8737 Beverly Blvd #102,West Hollywood,,CA,90048,cedarmakpharmacy@yahoo.com
InnovAge Pharmacy LLC (dba) InnServioRx,PH,267074,Active,01/09/2025,06/30/2026,5303 Spine Road,Ste 100,Boulder,,CO,80301,Innovge-CO@anewhealthrx.com
"InnovaHealth, LLC (dba) InnovaScript",PH,267178,Active,07/29/2025,06/30/2026,4145 Route 286 Highway West,,Indiana,,PA,15701,sgetty@diamondpharmacy.com
InnovaRX Inc,PH,267125,Active,05/12/2025,06/30/2026,100 Campus Dr,Ste 103,Morganville,,NJ,07751,Licensing@innovarxusa.com
Innovation Compounding Pharmacy LLC (dba) Innovation Compounding ,PH,266460,Active,12/06/2021,06/30/2026,6095 Pine Mountain Rd NW,Ste 108,Kennesaw,,GA,30152,rjohnson@innovationcompounding.com
"Innovative Rx, LLC (dba) TELEDERM.ME",PH,267218,Active,09/29/2025,06/30/2026,11954 Fishers Crossing Drive,,Fishers,,IN,46038,info@innovativerxpharmacy.com
"Inspire Pharmacy, Inc.",PH,266818,Active,09/26/2023,06/30/2026,360 Division Ave,Suite 100,Grand Forks,,ND,58201,pharmacy@inspiregf.com
"Integrated Health Concepts, Inc. (dba) Conversio Health",PH,264258,Active,11/07/2013,06/30/2026,"720 Aerovista Pl, Ste D",,San Luis Obispo,,CA,93401,dherr@conversiohealth.com
"Integrated Health Marketing, LLC (dba) Seip Drug #13",PH,264382,Active,04/07/2014,06/30/2026,"5675 26th Ave S, Suite 136B",,Fargo,,ND,58104,seipdrugltc@gmail.com
"Integrated Health Marketing, LLC (dba) Seip Prescription Shoppe #12",PH,264381,Active,04/07/2014,06/30/2026,"5675 26th Ave S, Suite 136A",,Fargo,,ND,58104,seipdrugdocs@gmail.com
Integrity Rx Specialty Pharmacy LLC (dba) Integrity Rx Specialty Pharmacy,PH,265739,Active,02/15/2019,06/30/2026,"8425 N 90th St, Suite 8",,Scottsdale,,AZ,85258,jbarry@villagepharmacy.com
International Falls Memorial Hospital (dba) Rainy Lake Pharmacy,PH,201049,Active,07/17/1975,06/30/2026,1400 Highway 71,,International Falls,Koochiching,MN,56649,kchezick@rainylakemedical.com
International Falls Memorial Hospital Association (dba) Rainy Lake Pharmacy,PH,266726,Active,05/05/2023,06/30/2026,314 3rd Street,,International Falls,Koochiching,MN,56649,pharmacy@rainylakemedical.com
"Intrathecal Compounding Specialists, LLC",PH,265204,Active,01/31/2017,06/30/2026,206A Jacobs Run,,Scott,,LA,70583,jeffrey@icspharmacy.com
"Irsfeld Pharmacy, P.C.",PH,265880,Active,07/01/2019,06/30/2026,33 9th St W,,Dickinson,,ND,58601,steveirsfeld64@outlook.com
Ivanhoe Family Pharmacy Inc. (dba) Ivanhoe Family Pharmacy,PH,262925,Active,12/01/2006,06/30/2026,"366 East George Street, Suite 1",,Ivanhoe,Lincoln,MN,56142,arost99@hotmail.com
Ivation Pharmacy LLC,PH,266644,Active,09/28/2022,06/30/2026,305 North Heatherwilde Blvd.,Suite 220,Pflugerville,,TX,78660,licensing@ivationrx.com
"Iverson Corner Drug, Inc (dba) Iverson Corner Drug",PH,265737,Active,01/09/2019,06/30/2026,408 Minnesota Ave NW,,Bemidji,Beltrami,MN,56601,rph@iversoncornerdrug.com
"IVI Pharmacy, Inc. (dba) Brigent",PH,266999,Active,09/03/2024,06/30/2026,4766 Park Granada,STE 112,Calabasas,,CA,91302,licensing@brigent.com
J&B Pharmacy Services Inc.,PH,267310,Active,12/22/2025,06/30/2026,50496 Pontiac Trail,Suite 1500,Wixom,,MI,48393,regulatory@jandbpharmacy.com
J&B Pharmacy Services Inc.,PH,266318,Active,05/04/2021,06/30/2026,50496 W Pontiac Trail,Suite 1500,Wixom,,MI,48393,regulatory@jandbpharmacy.com
"Jase Pharmacies, LLC (dba) Jase Pharmacy",PH,267163,Active,07/15/2025,06/30/2026,13648 S 200 W,STE # 1,Draper,,UT,84020,manager@jasepharmacy.com
"JAT Pharmacy, LLC",PH,265814,Active,05/01/2019,06/30/2026,805 Burton Blvd. Ste A,,Deforest,,WI,53532,bill.bartkowiak@jatpharmacy.pharmacy
"Jerry's Enterprises, Inc.",PH,267004,Active,09/24/2024,06/30/2026,5418 St. Croix Trail,,North Branch,Chisago,MN,55056,amell@jerrysfoods.com
"JHC Acquisition, LLC (dba) Omnicare of Northern Illinois",PH,263246,Active,09/16/2008,06/30/2026,2313 S Mount Prospect Road,,Des Plaines,,IL,60018,permitinfo@cvshealth.com
JJEL LLC (dba) Valley Drug,PH,266034,Active,03/24/2020,06/30/2026,1500 Curve Crest Blvd,,Stillwater,Washington,MN,55082,myvalleydrug@gmail.com
"JKR Pharmacy Ventures, LLC (dba) Doc Lane's Veterinary Pharmacy",PH,266830,Active,09/29/2023,06/30/2026,"101 Venture Ct., Ste 125",,Lexington,,KY,40511,info@doclanes.com
Johnson Memorial Health Services,PH,205403,Active,07/01/1978,06/30/2026,1282 Walnut Street,,Dawson,Lac qui Parle,MN,56232,wredepenning@jmhsmn.org
"Jon's Drug, Inc. (dba) Jon's Drug",PH,260017,Active,06/01/1983,06/30/2026,318 Grant Avenue,,Eveleth,St Louis,MN,55734,jon@jonsdrug.com
"Joycrafters, LLC (dba) DCA Pharmacy",PH,267100,Active,03/06/2025,06/30/2026,233 Bedford Way,,Franklin,,TN,37064,bmyatt@diabcorp.com
JSK Drug LLC (dba) RxSolutions,PH,266215,Active,10/26/2020,06/30/2026,527 N Washington Street,,Papillion,,NE,68046,rxsolutions20@gmail.com
JT Hoeschen Inc (dba) St. Paul Corner Drug,PH,261429,Active,04/01/1997,06/30/2026,240 South Snelling Avenue,,St Paul,Ramsey,MN,55105,jhoeschen@stpaulcornerdrug.com
Juba Pharmacy Inc (dba) Juba Pharmacy,PH,265702,Active,01/29/2019,06/30/2026,1926 Chicago Ave,,Minneapolis,Hennepin,MN,55404,jubapharmacy@gmail.com
Jubilant Draximage Inc (dba) Jubilant Radiopharma ,PH,266312,Active,04/07/2021,06/30/2026,2200 University Ave W,Suite 170,St Paul,Ramsey,MN,55114,jennifer.randolph@jubl.com
"Juro's Medical, Inc (dba) Juro's United Drug",PH,267043,Active,11/06/2024,06/30/2026,2043 Grand Ave,,Billings,,MT,59102,djurovich@jurosmedical.com
"K & K Rx Services, LP (dba) BioMatrix Specialty Pharmacy PA",PH,265422,Active,10/03/2017,06/30/2026,3070 McCann Farm Drive,Suite 101,Garnet Valley,,PA,19060,rachel.marchiano@biomatrixsprx.com
"K Pharmacy, LLC",PH,266439,Active,10/12/2021,06/30/2026,28 Kaysal Ct,Unit B1,Armonk,,NY,10504,pharmacylicensing@khealth.com
"KabaFusion, Inc.",PH,265720,Active,12/31/2018,06/30/2026,"159 Memorial Dr, Unit E",,Shrewsbury,,MA,01545,kabafusionlicensing@kabafusion.com
"Kaiser Foundation Health Plan of the Mid Atlantic States, Inc. (dba) Kaiser Permanente Sterling Automated Refill Center",PH,265759,Active,02/05/2019,06/30/2026,22370 Davis Dr,,Sterling,,VA,20164,sirak.d.woldetsdik@kp.org
Kappes Pharmaceuticals LLC (dba) CrossLake Drug,PH,262101,Active,11/02/2001,06/30/2026,14311 Gould Street,,Cross Lake,,MN,56442,pharmacy@crosslake.net
"Keaveny Drug, Inc.",PH,263701,Active,05/27/2011,06/30/2026,150 Main Ave,P.O. Box 910,Winsted,McLeod,MN,55395,deborah.keaveny@gmail.com
"KEBD Enterprises, LLC (dba) Belmar Pharmacy",PH,265777,Active,03/21/2019,06/30/2026,"231 Violet St, Suite 140",,Golden,,CO,80401,jessica.michieli@belmarpharma.com
Keystone Pharmacy LLC (dba) Keystone Specialty Pharmacy,PH,266961,Active,07/30/2024,06/30/2026,106 Highland Way,STE 206,Madison ,,MS,39110,info@keystone-pharmacy.com
"Kings Park Slope, LLC (dba) PRIMA",PH,267055,Active,12/06/2024,06/30/2026,8 East 41st Street,,New York,,NY,10017,info@forprima.com
Kittson Memorial Hospital Association (dba) Kittson Healthcare,PH,263957,Active,09/17/2012,06/30/2026,1010 S Birch Ave,,Hallock,Kittson,MN,56728,nicole.johnson@kmhc.net
Kittson Memorial Hospital Association (dba) Kittson Pharmacy,PH,267129,Active,05/13/2025,06/30/2026,1010 S Birch Ave,,Hallock,Kittson,MN,56728,Nicole.Johnson@kmhc.net
KLM Labs LLC (dba) KLM Labs,PH,267179,Active,08/06/2025,06/30/2026,6110 Greenwood Plaza Blvd,,Greenwood Village,,CO,80111,KathleenL@advancedENTdenver.com
"KnippeRx, Inc.",PH,265943,Active,10/11/2019,06/30/2026,"1250 Patrol Road, Suite 100",,Charlestown,,IN,47111,licensing@knipperx.com
Koala Pharmacy Boston LLC,PH,266414,Active,08/30/2021,06/30/2026,179 South Street,Ste 100,Boston,,MA,02111,licensing@koala.health
Kozak Inc.,PH,261564,Active,06/01/1998,06/30/2026,419 Skyline Boulevard,,Cloquet,Carlton,MN,55720,1554@medicineshoppe.com
Kozak Inc. (dba) The Medicine Shoppe 108,PH,261341,Active,04/01/1996,06/30/2026,1208 Cloquet Avenue,,Cloquet,Carlton,MN,55720,jgust4702@gmail.com
LAI Pharmacy LLC (dba) LAI Pharmacy,PH,267208,Active,09/22/2025,06/30/2026,3 Plaza Dr.,Ste 5,Tom River,,NJ,08757,laipharmacy@outlook.com
Lake Cedar Pharmacy LLC,PH,263276,Active,12/12/2008,06/30/2026,2423 East Franklin Ave,,Minneapolis,Hennepin,MN,55406,SUNARI12@AOL.COM
Lake Region Healthcare Corporation,PH,261087,Active,01/01/1994,06/30/2026,1411 Hwy 79 E,,Elbow Lake,Grant,MN,56531,jaythompson@lrhc.org
Lake Region Healthcare Corporation (dba) Lake Region Healthcare,PH,267252,Active,10/20/2025,06/30/2026,908 South Cascade St,,Fergus Falls,Otter Tail,MN,56537,rllien@lrhc.org
Lake Region Healthcare Corporation (dba) Lake Region Healthcare,PH,267253,Active,10/20/2025,06/30/2026,712 South Cascade St,,Fergus Falls,Otter Tail,MN,56537,rllien@lrhc.org
Lake View Memorial Hospital Pharmacy,PH,200530,Active,06/26/1975,06/30/2026,325 11Th Avenue,,Two Harbors,Lake,MN,55616,christine.dearing@slhduluth.com
Lakeview Memorial Hospital Association Inc. (dba) Lakeview Memorial Hospital Pharmacy,PH,200202,Active,06/13/1975,06/30/2026,927 West Churchill Street,,Stillwater,Washington,MN,55082,cynthia.a.appleseth@lakeview.org
"Lakeview Memorial Hospital Association, Inc. (dba) Lakeview Memorial Hospital Pharmacy- Outpatient",PH,261233,Active,07/05/1995,06/30/2026,927 West Churchill Street,,Stillwater,Washington,MN,55082,andrew.r.harrington@lakeview.org
Lakewood Health Center,PH,261569,Active,05/15/1998,06/30/2026,600 South Main Avenue,,Baudette,Lake of the Woods,MN,56623,brent.noble@commonspirit.org
Lakewood Health System (dba) Longbella Drug by Lakewood Health System- Pillager Clinic,PH,266846,Active,11/08/2023,06/30/2026,"653 Pillsbury Street N, Suite 2",,Pillager,Cass,MN,56473,longbelladrug@gmail.com
Lakewood Health System (dba) Longbella Drug by Lakewood Health System- Plaza,PH,266844,Active,11/02/2023,06/30/2026,1210 US Highway 10 E Suite 1,,Staples,Wadena,MN,56479,longbelladrug@gmail.com
Lakewood Health System (dba) Longbella Drug by Lakewood Health System- Staples Clinic,PH,266847,Active,11/08/2023,06/30/2026,"49725 Co Rd 83, Suite 100",,Staples,Wadena,MN,56479,lanilongbella@lakewoodhealthsystem.com
Lakewood Health Systems Hospital Pharmacy,PH,200748,Active,06/26/1975,06/30/2026,49725 County 83,,Staples,Todd,MN,56479,brianhinman@lakewoodhealthsystem.com
Lee Silsby Compounding Pharmacy LLC,PH,266777,Active,07/18/2023,06/30/2026,23865 Mercantile Rd,,Beachwood,,OH,44122,info@leesilsby.com
"Leedstone, Inc. (dba) Leedstone",PH,261819,Active,05/05/2000,06/30/2026,222 County Road 173 SE,,Melrose,Stearns,MN,56352,brendonvdh@leedstone.net
Legacy Apothecary LLC (dba) Waconia Clinic Pharmacy,PH,264872,Active,11/25/2015,06/30/2026,430 State Hwy 5 W,,Waconia,Carver,MN,55387,rloegering@mac.com
Lehigh Pharmacy & Supplies Inc (dba) CerebralRx,PH,266448,Active,10/28/2021,06/30/2026,307 Del Prado Blvd. N,Suite 3,Cape Coral,,FL,33909,CerebralRx@cerebral.com
"LeMed Pharmacy III, LLC",PH,266133,Active,07/09/2020,06/30/2026,2417 3rd Ave,Ste 406,Bronx,,NY,10451,compliance@lemedrx.com
Lemed Specialty Pharmacy Arizona LLC,PH,266926,Active,06/10/2024,06/30/2026,2450 E. Guadalupe Road,Suite 110,Gilbert,,AZ,85234,compliance@lemedrx.com
"Lewis Drugs, Inc. (dba) Lewis Drug #11",PH,267233,Active,10/10/2025,06/30/2026,"1301 E 10th St., Ste 100",,Sioux Falls,,SD,57103,astein@lewisdrug.com
"Lewis Drugs, Inc. (dba) Lewis Drug #17",PH,267225,Active,10/10/2025,06/30/2026,5830 E Madison St,,Sioux Falls ,,SD,57110,astein@lewisdrug.com
"Lewis Drugs, Inc. (dba) Lewis Drug #3 ",PH,267226,Active,10/10/2025,06/30/2026,"1301 E 10th St, Ste 100",,Sioux Falls ,,SD,57103,astein@lewisdrug.com
"Lewis Drugs, Inc. (dba) Lewis Drug #9",PH,267232,Active,10/10/2025,06/30/2026,115 N Splitrock Blvd,,Brandon,,SD,57005,astein@lewisdrug.com
Lewis Family Drug LLC (dba) Lewis Family Drug #40,PH,267260,Active,10/22/2025,06/30/2026,1095  Morgan St,,Tracy,Lyon,MN,56175,astein@lewisdrug.com
Lewis Family Drug LLC (dba) Lewis Family Drug #51,PH,267259,Active,10/22/2025,06/30/2026,202 Kniss Ave S,,Luverne,Rock,MN,56156,astein@lewisdrug.com
Lewis Family Drug LLC (dba) Lewis Family Drug #54,PH,267248,Active,10/14/2025,06/30/2026,2202 17th St ,,Spirit Lake,,IA,51360,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #31",PH,267244,Active,10/10/2025,06/30/2026,109 S Main ST,,Milbank,,SD,57252,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #33",PH,267238,Active,10/10/2025,06/30/2026,318 Studdart Ave,,Graceville,,MN,56240,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #35",PH,267237,Active,10/10/2025,06/30/2026,686 US Hwy 12,,Ortonville,Big Stone,MN,56278,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #36",PH,267236,Active,10/10/2025,06/30/2026,250 N Munsterman St,,Appleton,Swift,MN,56208,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #44",PH,267243,Active,10/10/2025,06/30/2026,925 SD HWY 10,,Sisseton,,SD,57262,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #45",PH,267235,Active,10/10/2025,06/30/2026,1105 13th Ave S,,St James,Watonwan,MN,56081,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #46",PH,267234,Active,10/10/2025,06/30/2026,712 8th Ave SE,,Pipestone,Pipestone,MN,56164,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #50",PH,267242,Active,10/10/2025,06/30/2026,2700 W 12th St,tSe Ste 100,Sioux Falls,,SD,57104,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #56",PH,267261,Active,10/22/2025,06/30/2026,599 2nd Ave N,,Windom,,MN,56101,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #61",PH,267249,Active,10/14/2025,06/30/2026,106 N Boone St,,Rock Rapid,,IA,51246,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #64",PH,267245,Active,10/10/2025,06/30/2026,"1420 W 22nd St., Ste. 103",,Sioux Falls,,SD,57105,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #70",PH,267251,Active,10/17/2025,06/30/2026,127 E 2nd Ave,,Flandreau,,SD,57028,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #71",PH,267246,Active,10/10/2025,06/30/2026,1507 N Main St,,Mitchell,,SD,57301,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #75",PH,267241,Active,10/10/2025,06/30/2026,825 3rd St,,Jackson,Jackson,MN,56143,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #76",PH,267240,Active,10/10/2025,06/30/2026,326 Main St,,Lakefield,Jackson,MN,56150,astein@lewisdrug.com
"Lewis Family Drug, LLC (dba) Lewis Family Drug #79",PH,267239,Active,10/10/2025,06/30/2026,9 E Main St,,Madelia,Watonwan,MN,56062,astein@lewisdrug.com
"Liberty Medical, LLC (dba) AptivaRx",PH,267147,Active,06/23/2025,06/30/2026,6700 N Andrews Ave,Ste 700,Ft. Lauderdale,,FL,33309,licensing@aptivarx.com
Life Infusions Corp,PH,266831,Active,09/29/2023,06/30/2026,1500 Astor Ave,Suite 2B,Bronx,,NY,10469,compliance.lifeinfusions@gmail.com
Lifecare Medical Center,PH,259998,Active,12/06/1982,06/30/2026,715 Delmore Drive,,Roseau,Roseau,MN,56751,gstreiff@lifecaremc.com
"LifeMD Pharmacy Services, LLC",PH,267054,Active,12/05/2024,06/30/2026,499 Running Pump Rd,Ste. 106,Lancaster,,PA,17601,licensing@lifemdpharmacy.com
Lightning Rx Inc. (dba) Lightning Rx ,PH,266609,Active,07/13/2022,06/30/2026,1876 Doctor Andres Way,Suite 112,Delray Beach,,FL,33445,lightningrx@heliosx.com
Lincare Pharmacy Services Inc. (dba) Reliant Pharmacy Service,PH,265828,Active,04/25/2019,06/30/2026,3985 Gateway Centre Blvd Ste 200,,Pinellas Park,,FL,33782,kwolosch@secure.lincare.com
"Lincare Pharmacy Services, Inc., (dba) Med 4 Home",PH,266331,Active,05/14/2021,06/30/2026,"2001 NE 46th Street, Suite 150",,Kansas City,,MO,64116,eweight@secure.med4home.com
Linson Pharmacy LTD,PH,261023,Active,07/01/1993,06/30/2026,3175 25th Street SW,,Fargo,,ND,58103,rx@linsonpharmacy.com
Live Well Rx LLC (dba) Live Well Pharmacy,PH,266819,Active,09/26/2023,06/30/2026,4001 Long Prairie Rd,Ste 100,Flower Mound,,TX,75028,livewellpharmacy@yahoo.com
"Long Island Jewish Medical Center at Home Pharmacy, Inc. (dba) Vivo Health Pharmacy at Home",PH,266158,Active,08/12/2020,06/30/2026,"225 Community Drive, Suite 140",,Great Neck,,NY,11021,vivo.pharm225@northwell.edu
Long Prairie Pharmacy LLC (dba) Long Prairie Pharmacy,PH,265031,Active,04/05/2016,06/30/2026,"4921 Long Prairie Rd, Suite 105",,Flower Mound,,TX,75028,longprairiepharmacy@yahoo.com
Long's Drugs of Lexington South Carolina Inc. (dba) Avita Pharmacy 1051,PH,264960,Active,01/06/2016,06/30/2026,1216 West Main St,Suite D,Lexington,,SC,29072,legal@avitacaresolutions.com
Lotus LTC Pharmacy LLC (dba) Lotus Pharmacy,PH,265999,Active,01/02/2020,06/30/2026,9850 51st Ave N,Suite 102,Plymouth,Hennepin,MN,55441,jlytwyn@lotuspharmacy.com
Lower Sioux Health Care Center,PH,264876,Active,01/04/2016,06/30/2026,39648 Res Hwy 3,,Morton,Renville,MN,56270,shannon.goblirsch@lowersiouxhealth.com
LPRXONE LLC (dba) Lemonaid Pharmacy,PH,266445,Active,10/21/2021,06/30/2026,"1701 Macklind, Suite 300",,St. Louis,,MO,63110,lprxone@lemonaid.com
"LT Pharmacy Buyer, LLC (dba) Link Pharmacy",PH,267256,Active,10/22/2025,06/30/2026,2140 Justin Rd,Ste 100,Highland Village,,TX,75077,regulatory@linkrx.org
LTC Prescription Providers #2,PH,266589,Active,06/09/2022,06/30/2026,220 1/2 3rd Ave.,,Proctor,St Louis,MN,55810,philip@huntdrug.net
"LTC Prescription Providers, INC",PH,266588,Active,06/09/2022,06/30/2026,220 3rd Ave.,,Proctor,St Louis,MN,55810,philip@huntdrug.net
"Lumicera Health Services, LLC",PH,267319,Active,01/07/2026,06/30/2026,9185 E. Pima Center Parkway,Suite 200,Scottsdale,,AZ,85258,licensing@lumicera.com
"Lumicera Health Services, LLC",PH,267320,Active,01/07/2026,06/30/2026,310 Integrity Drive,Suite 101,Madison,,WI,53717,licensing@lumicera.com
"Lumicera Health Services, LLC",PH,267333,Active,01/21/2026,06/30/2026,20501 Seneca Meadows Parkway,Suite 120,Germantown,,MD,20876,licensing@lumicera.com
"Lynnfield Compounding Center, Inc. (dba) Freedom FP Fertility Phamacy",PH,267083,Active,01/28/2025,06/30/2026,374 Merrimac Street,Suite 200,Newburyport,,MA,01950,philip.damato@curascript.com
"Lynnfield Drug, Inc. (dba) Freedom Fertility Pharmacy",PH,267087,Active,02/06/2025,06/30/2026,374 Merrimac Street,Suite 100,Newburyport,,MA,01950,hilary.veinot@evernorth.com
M. N. Pharmacy LLC (dba) Amazon Pharmacy #003,PH,266245,Active,12/07/2020,06/30/2026,"M.N. Pharmacy, Llc","6701 NW 7th Street, Suite 199",Miami,,FL,33126,pmi2-licensing@pillpack.com
"Mackenthun/Beck Pharmacy, Inc. (dba) Mackenthun Beck Pharmacy",PH,265877,Active,06/27/2019,06/30/2026,851 Marketplace Drive,,Waconia,Carver,MN,55387,pharmacy@mackenthuns.com
"Madame Rx, LLC (dba) Chemistry Rx",PH,266379,Active,06/30/2021,06/30/2026,950 Henderson Blvd.,,Folcroft,,PA,19032,licensing@chemistryrx.com
Madelia Health,PH,200780,Active,06/26/1975,06/30/2026,121 Drew Avenue Se,,Madelia,Watonwan,MN,56062,jmalmskog@Madeliahealth.org
Madison Healthcare Services (dba) Madison Hospital,PH,200448,Active,06/19/1975,06/30/2026,820 3rd Avenue,,Madison,Lac qui Parle,MN,56256,dnyflot@mlhmn.org
"Magnolia Pharmacy Services, LLC (dba) Magnolia Pharmacy",PH,266907,Active,04/29/2024,06/30/2026,"2620 Bethelview Dr., Ste. 100",,Cumming,,GA,30040,lindsey.tesseyman@mymagnoliarx.com
Magnum Compounding LLC,PH,267198,Active,09/16/2025,06/30/2026,490 W 84th St,,Hialeah,,FL,33014,pharmacy@magnumcompounding.com
MAH Pharmacy LLC (dba) Evernorth EnGuide Pharmacy,PH,265557,Active,05/01/2018,06/30/2026,4600 N. Hanley Rd. Ste C,,St. Louis,,MO,63134,Kyle.Dexter@express-scripts.com
MAH Pharmacy LLC (dba) Evernorth EnGuide Pharmacy,PH,263806,Active,12/20/2011,06/30/2026,4867 Dixie Highway,,Fairfield,,OH,45014,robert_konkus@express-scripts.com
Mahnomen Health Center,PH,263958,Active,09/17/2012,06/30/2026,414 W Jefferson Ave,,Mahnomen,Mahnomen,MN,56557,jaylan.omar@mahnomenhealthcenter.org
Main St RX LLC,PH,267036,Active,10/21/2024,06/30/2026,"5670 38th Ave S, Ste. A",,Fargo,,ND,58104,scott@mymainstrx.com
"Malanda, Inc. (dba) Mandell's Clinical Pharmacy",PH,263213,Active,07/28/2008,06/30/2026,7 Cedar Grove Lane,Suite 24,Somerset,,NJ,08873,licenses@mandellsrx.com
"Manatee Pharmacy Services, Inc. (dba) Manatee Discount Pharmacy",PH,266884,Active,02/21/2024,06/30/2026,1802 59th Street West,,Bradenton,,FL,34209,compliance@mdprx.com
MAO Pharmacy Inc (dba) Westwood Pharmacy Clinical Services,PH,265972,Active,11/14/2019,06/30/2026,8905 Three Chopt Rd,,Henrico,,VA,23229,SPAL@westwoodpharmacy.com
Maple Grove Hospital Corporation (dba) Maple Grove Hospital Pharmacy,PH,263451,Active,11/18/2009,06/30/2026,9875 Hospital Drive,,Maple Grove,Hennepin,MN,55369,megan.reed@maplegrovehospital.org
Marley Drug Inc.,PH,266244,Active,12/07/2020,06/30/2026,5008 Peters Creek Parkway,,Winston-Salem,,NC,27127,compliance@medicure.com
Mattson Pharmacy Inc (dba) Greenbush Pharmacy,PH,260108,Active,03/12/1984,06/30/2026,P.O. Box 39,152 Main Street North,Greenbush,Roseau,MN,56726,mattsonpharmacy@mncable.net
"Mattson Pharmacy, Inc. (dba) Mattson Pharmacy",PH,201190,Active,08/07/1975,06/30/2026,111 Main Avenue South,,Roseau,Roseau,MN,56751,mattsonpharmacy@mncable.net
"Maxor National Pharmacy Services, LLC (dba) VytlOne Pharmacy",PH,265556,Active,04/30/2018,06/30/2026,416 S Tyler,,Amarillo,,TX,79101,licensing@maxor.com
"Maxor National Pharmacy Services, LLC (dba) VytlOne Specialty Pharmacy",PH,264663,Active,03/03/2015,06/30/2026,6101 43rd Street Ste. C,,Lubbock,,TX,79407,licensing@maxor.com
"Maxor National Pharmacy Services, LLC (dba) VytlOne Specialty Pharmacy",PH,264338,Active,02/18/2014,06/30/2026,"Maxor National Pharmacy Services, Llc",216 S Polk St,Amarillo,,TX,79101,licensing@maxor.com
